date,open,high,low,close,volume
2025-03-26 20:00:00-04:00,51.25,52.36,50.718,50.78,10393983.0
2025-03-27 20:00:00-04:00,50.44,50.5,48.41,48.7,11971205.0
2025-03-30 20:00:00-04:00,46.82,47.77,45.55,47.58,13088179.0
2025-03-31 20:00:00-04:00,47.68,48.67,46.71,47.8,11548366.0
2025-04-01 20:00:00-04:00,46.65,49.78,46.49,49.15,17988018.0
2025-04-02 20:00:00-04:00,45.54,46.35,44.76,45.12,18655507.0
2025-04-03 20:00:00-04:00,43.11,43.7,40.25,41.94,18839765.0
2025-04-06 20:00:00-04:00,39.2199,44.83,38.5686,42.28,24463268.0
2025-04-07 20:00:00-04:00,44.6,44.68,39.785,40.51,19285096.0
2025-04-08 20:00:00-04:00,40.44,47.83,40.44,47.25,26371676.0
2025-04-09 20:00:00-04:00,45.62,45.7347,42.63,44.53,16547931.0
2025-04-10 20:00:00-04:00,44.61,45.985,43.78,45.89,15079054.0
2025-04-13 20:00:00-04:00,47.29,47.56,45.28,46.26,8831824.0
2025-04-14 20:00:00-04:00,46.1,47.16,45.94,46.55,7413698.0
2025-04-15 20:00:00-04:00,45.5,45.87,44.055,45.08,8670449.0
2025-04-16 20:00:00-04:00,45.2,45.54,44.555,45.12,9289794.0
2025-04-20 20:00:00-04:00,44.3,44.76,43.68,44.44,6956078.0
2025-04-21 20:00:00-04:00,44.98,46.73,44.98,46.12,7961612.0
2025-04-22 20:00:00-04:00,48.47,49.5003,47.83,47.95,12613796.0
2025-04-23 20:00:00-04:00,48.03,49.99,48.03,49.99,7139857.0
2025-04-24 20:00:00-04:00,49.96,51.26,49.68,51.0,8982047.0
2025-04-27 20:00:00-04:00,51.36,52.02,50.04,51.24,8273168.0
2025-04-28 20:00:00-04:00,51.2,51.75,50.765,51.53,5049157.0
2025-04-29 20:00:00-04:00,49.64,50.975,49.03,50.84,11531291.0
2025-04-30 20:00:00-04:00,52.04,52.055,50.67,50.77,7927550.0
2025-05-01 20:00:00-04:00,50.79,52.5765,50.77,51.9,11373375.0
2025-05-04 20:00:00-04:00,51.22,51.285,50.6,50.69,7208562.0
2025-05-05 20:00:00-04:00,49.28,49.61,48.53,48.78,9223601.0
2025-05-06 20:00:00-04:00,49.15,49.675,48.61,49.59,7462906.0
2025-05-07 20:00:00-04:00,50.2,52.11,50.135,51.47,11135832.0
2025-05-08 20:00:00-04:00,52.03,52.825,51.19,51.35,11124495.0
2025-05-11 20:00:00-04:00,54.29,54.82,53.29,54.48,17282780.0
2025-05-12 20:00:00-04:00,55.33,57.61,55.3,57.41,15348478.0
